02/16/2015 13:16:50 From 127.0.0.1: SQLSTATE[42S01]: Base table or view already exists: 1050 Table 'VocabList' already exists
02/16/2015 14:14:02 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'Word' cannot be null
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'counseled' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'couture' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'culminate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'derelict' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'derisive' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'disdain' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'dispel' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'droning' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'dwell' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'elaborate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'embody' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'evoke' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'excoriate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'exorcise' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'expose' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'fivolities' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'foist' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frivolous' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frought' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'gilded' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'hypochondriac' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'hypothesis' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'idosyncratic' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'idyllic' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'impart' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'impediment' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'implicate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'inclination' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'indolent' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'inertia' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'inferral' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'insidious' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'juncture' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'lavish' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'meek' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'muster' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'mutilate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'narrative' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'novella' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'oddity' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'omniscient' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'opulent' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'ostentatious' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'part nouveau' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'parvenus' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'Personification' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'piety' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'plausible' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'postulate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'propriety' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prose' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'querulous' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'rapier' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'recapitulate' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'refuge' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'satire' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'sojourn' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'stark' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'subsequent' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'sway' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'taciturn' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'tantalize' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'threshold' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'urbanity' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'venerable' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'verbatim' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'vitality' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'voracious' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'wrest' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'yankee' for key 'PRIMARY'
02/16/2015 14:14:32 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'Word' cannot be null
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'albeit' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'alter ego' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'amoral' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'anomaly' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'anxiety' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'aristocracy' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'articulate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'assert' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'bleak' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'cast' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'caustic' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'compel' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'concoct' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'constitute' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'construe' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'contemporary' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'correlative' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'cosmopolitan' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'counseled' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'couture' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'culminate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'derelict' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'derisive' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'disdain' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'dispel' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'droning' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'dwell' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'elaborate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'embody' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'evoke' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'excoriate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'exorcise' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'expose' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'fivolities' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'foist' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frivolous' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'frought' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'gilded' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'hypochondriac' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'hypothesis' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'idosyncratic' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'idyllic' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'impart' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'impediment' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'implicate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'inclination' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'indolent' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'inertia' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'inferral' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'insidious' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'juncture' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'lavish' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'meek' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'muster' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'mutilate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'narrative' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'novella' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'oddity' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'omniscient' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'opulent' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'ostentatious' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'part nouveau' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'parvenus' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'Personification' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'piety' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'plausible' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'postulate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'propriety' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'prose' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'querulous' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'rapier' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'recapitulate' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'refuge' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'satire' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'sojourn' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'stark' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'subsequent' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'sway' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'taciturn' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'tantalize' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'threshold' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'urbanity' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'venerable' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'verbatim' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'vitality' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'voracious' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry 'wrest' for key 'PRIMARY'
02/16/2015 14:15:06 From 127.0.0.1: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'Word' cannot be null
